,titles,subtitles,links
17,GOLDEN GOAL,"Man Utd vs Everton: Get Red Devils at EVENS to score first, plus £40 bonus",https://www.thesun.co.uk/sport/21963721/man-utd-everton-william-hill-best-odds-free-bets/
18,HOMECOMING BLUES,"Lamps' horror in-tray with no strikers, overloaded squad and Real looming",https://www.thesun.co.uk/sport/21979487/frank-lampard-chelsea-problems-wolves-real-madrid/
19,WOLVES WARNING,Three arrested after Wolves fans sing homophobic Chelsea chants,https://www.thesun.co.uk/sport/21984745/wolves-face-fa-rap-fans-offensive-chelsea-chant/
20,FRANK ASSESSMENT,Ex-Chelsea stars fear Frank Lampard could have awkward dressing room,https://www.thesun.co.uk/sport/21985407/ex-chelsea-stars-fear-lampard-awkward-dressing-room/
21,CHELSEA PLAYER RATINGS,Havertz flat on Lampard return but Fofana shows fight for the Blues,https://www.thesun.co.uk/sport/21983610/wolves-chelsea-match-rating-havertz-lampard-fofana/
22,KANT DO IT,Lampard explains Kante DROP decision in second managerial debut for Chelsea,https://www.thesun.co.uk/sport/21983855/lampard-explains-kante-drop-chelsea-wolves/
23,"LIKE FATHER, LIKE SON",George is gripped as dad Wills takes him to watch his beloved Villa,https://www.thesun.co.uk/sport/21984331/animated-prince-george-william-aston-villa/
24,SLAM DUNK,Brighton ace Dunk forced to apologise for X-rated interview after Spurs defeat,https://www.thesun.co.uk/sport/21984976/dunk-apologises-swearing-interview-brighton-tottenham/
25,RASH WORRY,Rashford hands Man Utd injury scare as he hobbles off grimacing vs Everton,https://www.thesun.co.uk/sport/21983283/rashford-man-utd-injury-scare-hobbles-off-everton/
26,LOAN WOES,Man City and Prem sides out to close little-known loophole in loan transfers,https://www.thesun.co.uk/sport/21985793/man-city-prem-sides-out-close-loophole-loan-transfers/
27,CASINO,Best Casino Bonuses - Sign up for Free Spins &amp; No deposit bonuses,https://www.thesun.co.uk/betting/20754895/casino-bonus/
28,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
29,FREE PLAY,1-2-Free: Win £100 in CASH if you correctly predict three scores with Ladbrokes,https://www.thesun.co.uk/sport/21084288/ladbrokes-free-bets-game-bonus-win-100-football/
30,SUN VEGAS,Get up to £300 matched deposit at The Sun Vegas,https://www.thesun.co.uk/betting/21896258/sun-vegas-welcome-bonus/
